district_id,expected_saving_kg,expected_capex_eur,tech,saving_per_eur,capex_eur_kw,efficiency_cop,adoption_rate,OPEX,expected_capex_eur_subsidized,total_cost,weighted_saving
1,34907492.776733376,22226375.616614256,air_source_hp,1.5705436360321365,1200,3.2,0.3,0.0,20003738.05495283,20003738.05495283,10472247.833020013
2,16471214.497584466,11937476.281058868,air_source_hp,1.3797903434345882,1200,3.2,0.3,0.0,10743728.652952982,10743728.652952982,4941364.349275339
3,20744844.330332767,13580553.279877765,air_source_hp,1.5275404398339423,1200,3.2,0.3,0.0,12222497.951889988,12222497.951889988,6223453.29909983
4,17676959.707650837,12753655.899556521,air_source_hp,1.3860307857502656,1200,3.2,0.3,0.0,11478290.30960087,11478290.30960087,5303087.912295251
5,62459714.08668239,41444476.09315589,air_source_hp,1.5070696984150544,1200,3.2,0.3,0.0,37300028.4838403,37300028.4838403,18737914.226004716
6,40951526.41005482,26896388.008986793,air_source_hp,1.5225660187669747,1200,3.2,0.3,0.0,24206749.208088115,24206749.208088115,12285457.923016446
7,13865974.05859044,10085515.689422194,air_source_hp,1.374840363704281,1200,3.2,0.3,0.0,9076964.120479975,9076964.120479975,4159792.217577132
8,30262183.22306197,21072937.686402798,air_source_hp,1.4360685573795668,1200,3.2,0.3,0.0,18965643.917762518,18965643.917762518,9078654.966918591
9,104794780.5007869,77553476.4289004,air_source_hp,1.3512583229826043,1200,3.2,0.3,0.0,69798128.78601037,69798128.78601037,31438434.15023607
10,31113666.354161777,19945383.828492463,air_source_hp,1.5599432240414022,1200,3.2,0.42,0.0,17950845.445643216,17950845.445643216,13067739.868747946
11,40356536.05677454,26249735.398789752,air_source_hp,1.5374073469188259,1200,3.2,0.437,0.0,23624761.858910777,23624761.858910777,17635806.256810475
12,27833072.10157811,17997491.30485449,air_source_hp,1.5464973217723212,1200,3.2,0.437,0.0,16197742.17436904,16197742.17436904,12163052.508389633
13,24722015.911732197,15434420.801363021,air_source_hp,1.6017456197351432,1200,3.2,0.345,0.0,13890978.72122672,13890978.72122672,8529095.489547607
14,10231429.8928205,6510575.249300803,air_source_hp,1.5715093522525978,1200,3.2,0.3,0.0,5859517.724370723,5859517.724370723,3069428.96784615
15,29473143.06664739,20078333.339182388,air_source_hp,1.4679078471683333,1200,3.2,0.343,0.0,18070500.005264148,18070500.005264148,10109288.071860056
16,54779495.86431464,41592387.90051522,air_source_hp,1.3170558034643658,1200,3.2,0.3,0.0,37433149.1104637,37433149.1104637,16433848.75929439
17,9528167.922845708,6395250.11422588,air_source_hp,1.4898819831378958,1200,3.2,0.3,0.0,5755725.102803293,5755725.102803293,2858450.3768537124
18,13115477.103610238,10121628.560722198,air_source_hp,1.2957872367008123,1200,3.2,0.3,0.0,9109465.70464998,9109465.70464998,3934643.131083071
19,4443860.63054447,2367343.3701783735,air_source_hp,1.8771508546348457,1200,3.2,0.3,0.0,2130609.033160536,2130609.033160536,1333158.189163341
20,15783727.449317869,11996420.218118653,air_source_hp,1.3157031149575023,1200,3.2,0.3,0.0,10796778.196306787,10796778.196306787,4735118.234795361
21,8570296.35409876,6388662.093829217,air_source_hp,1.3414853107314557,1200,3.2,0.3,0.0,5749795.884446296,5749795.884446296,2571088.906229628
1,38461402.11354177,47416267.98211041,district_heating,0.8111435958657226,800,1.0,0.3,0.0,42674641.18389937,42674641.18389937,11538420.63406253
2,18379660.93084995,25466616.06625892,district_heating,0.7217158684542083,800,1.0,0.3,0.0,22919954.459633026,22919954.459633026,5513898.279254985
3,22917732.849664427,28971846.997072566,district_heating,0.7910345809840887,800,1.0,0.3,0.0,26074662.29736531,26074662.29736531,6875319.854899328
4,19717509.066919908,27207799.252387244,district_heating,0.7247006229358984,800,1.0,0.3,0.0,24487019.32714852,24487019.32714852,5915252.720075972
5,69088031.61361575,88414882.3320659,district_heating,0.781407267547301,800,1.0,0.3,0.0,79573394.09885931,79573394.09885931,20726409.484084725
6,45252940.86492247,57378961.08583849,district_heating,0.7886678323998306,800,1.0,0.3,0.0,51641064.977254644,51641064.977254644,13575882.259476742
7,15479656.56887621,21515766.80410068,district_heating,0.7194564204853693,800,1.0,0.3,0.0,19364190.123690613,19364190.123690613,4643896.970662863
8,33623658.424750194,44955600.3976593,district_heating,0.7479303607855023,800,1.0,0.3,0.0,40460040.35789337,40460040.35789337,10087097.527425058
9,117198358.6698922,165447416.38165423,district_heating,0.7083722504287341,800,1.0,0.3,0.0,148902674.74348882,148902674.74348882,35159507.60096766
10,34303974.8167091,42550152.167450584,district_heating,0.8062009903445297,800,1.0,0.42,0.0,38295136.95070553,38295136.95070553,14407669.423017822
11,44556345.61307597,55999435.51741814,district_heating,0.7956570490646662,800,1.0,0.437,0.0,50399491.96567632,50399491.96567632,19471123.0329142
12,30711332.865728337,38394648.11702291,district_heating,0.7998857750206064,800,1.0,0.437,0.0,34555183.30532062,34555183.30532062,13420852.462323284
13,27190494.12450295,32926764.37624111,district_heating,0.8257870045719625,800,1.0,0.345,0.0,29634087.938617,29634087.938617,9380720.472953517
14,11268223.026156003,13889227.198508378,district_heating,0.811292296188095,800,1.0,0.3,0.0,12500304.47865754,12500304.47865754,3380466.9078468005
15,32647753.227134112,42833777.790255755,district_heating,0.7621964466221128,800,1.0,0.343,0.0,38550400.01123018,38550400.01123018,11198179.356907
16,61424050.55112291,88730427.52109914,district_heating,0.692254644400501,800,1.0,0.3,0.0,79857384.76898922,79857384.76898922,18427215.165336873
17,10549212.909733579,13643200.243681878,district_heating,0.7732212912889617,800,1.0,0.3,0.0,12278880.21931369,12278880.21931369,3164763.8729200736
18,14732281.926283294,21592807.596207358,district_heating,0.6822772749973898,800,1.0,0.3,0.0,19433526.836586624,19433526.836586624,4419684.577884988
