gei_yr,gei_crf,gei_co2_eq_t,gei_pollutant
1990,1A1a,15.104735,N2O
1990,1A1a,15.95958,CH4
1990,1A1c,1.038352,CH4
1990,1A1c,1144.93,CO2
1990,1A1c,5.255745,N2O
1990,1A2a,84.486108,CH4
1990,1A2a,101313.5578,CO2
1990,1A2a,130.4208365,N2O
1990,1A2b,27.526764200000002,CH4
1990,1A2b,16371.6564273,CO2
1990,1A2b,38.4422669,N2O
1990,1A2c,1956.6175159999998,CH4
1990,1A2c,712907.608,CO2
1990,1A2c,1566.03128,N2O
1990,1A2d,1290.2983800000002,CH4
1990,1A2d,133632.395,CO2
1990,1A2d,457.90039,N2O
1990,1A2e,581.062496,CH4
1990,1A2e,242940.055,CO2
1990,1A2e,470.05117,N2O
1990,1A2f,2354.0449703,N2O
1990,1A2f,1178.5224810999998,CH4
1990,1A2f,768661.3501533,CO2
1990,1A2g,9373.2756793,N2O
1990,1A2g,7421.9393752,CH4
1990,1A2g,556224.901788,CO2
1990,1A3a,210.6739085,CH4
1990,1A3a,463415.86779289995,CO2
1990,1A3a,3337.9082589000004,N2O
1990,1A3b,59344.284188000005,CH4
1990,1A3b,6030809.095,CO2
1990,1A3b,48464.79583,N2O
1990,1A3c,51.11797,N2O
1990,1A3c,40.252016000000005,CH4
1990,1A3c,25669.170000000002,CO2
1990,1A4a,2080.8515500000003,N2O
1990,1A4a,3939.5996640000003,CH4
1990,1A4a,1091031.972,CO2
1990,1A4b,80607.75268,CH4
1990,1A4b,2573154.79,CO2
1990,1A4b,6048.082015,N2O
1990,1A4c,185.79512,CH4
1990,1A4c,74156.754,CO2
1990,1A4c,691.9589900000001,N2O
1990,1A5b,245.094525,N2O
1990,1A5b,16.342395999999997,CH4
1990,1A5b,33644.336,CO2
1990,1B2b,2.813,CO2
1990,1B2b,7026.773516,CH4
1990,2A1,697089.75,CO2
1990,2A2,71048.4656049,CO2
1990,2A3,5181.091,CO2
1990,2A4a,9353.761999999999,CO2
1990,2A4b,14770.851999999999,CO2
1990,2C1a,27420.739999999998,CO2
1990,2C5,2544.12,CO2
1990,2D1,19844.8,CO2
1990,2D2,4122.658,CO2
1990,2G1a,36.2419115,SF6
1990,2G1b,7229.1235095,SF6
1990,2G3a,45591.322920000006,N2O
