natural_gas_consumption_yr,natural_gas_ktep
2000,1205
2000,740
2000,330
2000,130
2000,0
2000,5
2001,1357
2001,821
2001,369
2001,8
2001,3
2001,0
2001,155
2002,8
2002,1464
2002,1050
2002,325
2002,11
2002,4
2002,66
2002,0
2003,309
2003,1
2003,1059
2003,14
2003,1548
2003,42
2003,0
2003,121
2004,1758
2004,46
2004,97
2004,0
2004,380
2004,5
2004,1
2004,1229
2005,1255
2005,1847
2005,1
2005,13
2005,110
2005,432
2005,0
2005,35
2006,5
2006,48
2006,1230
2006,0
2006,1
2006,2126
2006,518
2006,125
2007,1
2007,17
2007,56
2007,97
2007,0
2007,2073
2007,1285
2007,617
2008,32
2008,136
2008,566
2008,1282
2008,2085
2008,69
2008,0
2008,1
2009,1
2009,132
2009,549
2009,1243
2009,2023
2009,67
2009,0
2009,31
2010,2126
2010,1
2010,518
2010,238
2010,111
2010,29
2010,1230
2010,0
2011,0
2011,318
2011,1
2011,1228
2011,180
2011,2026
2011,269
2011,30
2012,315
2012,297
2012,1200
2012,2029
2012,212
2012,0
2012,5
2013,463
2013,1233
2013,0
2013,2067
2013,53
2013,317
2014,0
2014,1792
2014,1118
2014,339
2014,282
2014,52
2015,0
2015,1157
2015,1792
2015,288
2015,51
2015,297
2016,0
2016,55
2016,298
2016,1852
2016,279
2016,1220
2017,277
2017,1210
2017,0
2017,55
2017,295
2017,1836
2018,331
2018,310
2018,1355
2018,2057
2018,0
2018,1
2018,61
2019,1357
2019,1
2019,61
2019,2061
2019,0
2019,310
2019,331
2020,0
2020,315
2020,58
2020,1291
2020,1960
2020,1
2020,295
2021,333
2021,312
2021,1365
2021,2071
2021,0
2021,62
2022,0
2022,1931
2022,1271
2022,57
2022,293
2022,310
