year,sector_crf,category_crf,activity_crf,pollutant,co2_eq
1990,CRF 1 Energía,1.A. Actividades de combustión,1A1a Producción de energía y calor en plantas de servicio público,N2O,0.015104735
1990,CRF 1 Energía,1.A. Actividades de combustión,1A1a Producción de energía y calor en plantas de servicio público,CH4,0.01595958
1990,CRF 1 Energía,1.A. Actividades de combustión,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,CH4,0.001038352
1990,CRF 1 Energía,1.A. Actividades de combustión,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,CO2,1.14493
1990,CRF 1 Energía,1.A. Actividades de combustión,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,N2O,0.005255745
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2a Hierro y acero,CH4,0.084486108
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2a Hierro y acero,CO2,101.3135578
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2a Hierro y acero,N2O,0.1304208365
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2b Metales no ferrosos,CH4,0.0275267642
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2b Metales no ferrosos,CO2,16.3716564273
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2b Metales no ferrosos,N2O,0.0384422669
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2c Productos químicos,CH4,1.956617516
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2c Productos químicos,CO2,712.907608
1990,CRF 1 Energía,1.A. Actividades de combustión,1A2c Productos químicos,N2O,1.56603128
1990,CRF 1 Energía,1.A. Actividades de combustión,"1A2d Pasta de papel, papel e impresión",CH4,1.29029838
1990,CRF 1 Energía,1.A. Actividades de combustión,"1A2d Pasta de papel, papel e impresión",CO2,133.632395
1990,CRF 1 Energía,1.A. Actividades de combustión,"1A2d Pasta de papel, papel e impresión",N2O,0.45790039
1990,CRF 1 Energía,1.A. Actividades de combustión,"1A2e  Procesado de alimentos, bebidas y tabaco",CH4,0.581062496
