year,emission_concept,tons_pst
2000,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),830
2000,Total emisión de partículas en suspensión,18926
2000,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,12
2000,Emisión de partículas en suspensión en plantas de combustión no industrial,2505
2000,Emisión de partículas en suspensión en plantas de combustión industrial,1263
2000,Emisión de partículas en suspensión en procesos industriales sin combustión,8425
2000,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2000,Emisión de partículas en suspensión en el uso de disolventes y otros productos,127
2000,Emisión de partículas en suspensión en el transporte por carretera,3590
2000,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,434
2000,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,479
2000,Emisión de partículas en suspensión en agricultura,1262
2001,Emisión de partículas en suspensión en el transporte por carretera,3904
2001,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,438
2001,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,466
2001,Emisión de partículas en suspensión en agricultura,1027
2001,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),561
2001,Emisión de partículas en suspensión en el uso de disolventes y otros productos,195
2001,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,12
2001,Emisión de partículas en suspensión en plantas de combustión no industrial,2211
2001,Emisión de partículas en suspensión en plantas de combustión industrial,1308
2001,Emisión de partículas en suspensión en procesos industriales sin combustión,8381
2001,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2001,Total emisión de partículas en suspensión,18504
2002,Emisión de partículas en suspensión en el uso de disolventes y otros productos,205
2002,Emisión de partículas en suspensión en el transporte por carretera,3833
2002,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,423
2002,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,496
2002,Emisión de partículas en suspensión en agricultura,1084
2002,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),636
2002,Total emisión de partículas en suspensión,19007
2002,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,12
2002,Emisión de partículas en suspensión en plantas de combustión no industrial,2196
2002,Emisión de partículas en suspensión en plantas de combustión industrial,1423
2002,Emisión de partículas en suspensión en procesos industriales sin combustión,8699
2002,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2003,Emisión de partículas en suspensión en el uso de disolventes y otros productos,272
2003,Emisión de partículas en suspensión en el transporte por carretera,3940
2003,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,435
2003,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,569
2003,Emisión de partículas en suspensión en agricultura,1100
2003,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2003,Total emisión de partículas en suspensión,20960
2003,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,22
2003,Emisión de partículas en suspensión en plantas de combustión no industrial,2264
2003,Emisión de partículas en suspensión en plantas de combustión industrial,1610
2003,Emisión de partículas en suspensión en procesos industriales sin combustión,9888
2003,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),861
2004,Emisión de partículas en suspensión en el uso de disolventes y otros productos,462
2004,Emisión de partículas en suspensión en el transporte por carretera,3829
2004,Emisión de partículas en suspensión en otros modos de transporte y maquinaria móvil,465
2004,Emisión de partículas en suspensión en el tratamiento y eliminación de residuos,375
2004,Emisión de partículas en suspensión en agricultura,1040
2004,Emisión de partículas en suspensión en la extracción y distribución de combustibles fósiles y energía geotérmica,0
2004,Total emisión de partículas en suspensión,21581
2004,Emisión de partículas en suspensión en la combustión en la producción y transformación de energía,43
2004,Emisión de partículas en suspensión en plantas de combustión no industrial,2456
2004,Emisión de partículas en suspensión en plantas de combustión industrial,1395
2004,Emisión de partículas en suspensión en procesos industriales sin combustión,11036
2004,Emisión de partículas en suspensión en otras fuentes y sumideros (naturaleza),481
2005,Emisión de partículas en suspensión en el uso de disolventes y otros productos,470
