id;lugar_infr;utm_x;utm_y
1;C PEDRO RICO 213;441555.75;4481256.59
2;PO CASTELLANA 259 C1;441861.02;4481195.27
3;PO CASTELLANA 259 C2;441861.02;4481195.27
4;PO CASTELLANA 259 VS;441861.02;4481195.27
5;C MAURICIO LEGENDRE - VERJAS;442067.7;4481296.23
6;AV BURGOS - FRENTE N38;442723.26;4481206.71
7;SALIDA M30 TUNEL PIO XII;442869.02;4480479.39
8;AV BURGOS 8;442718.17;4480485.98
9;AV PIO XII 100;442678.44;4480467.86
10;AV PIO XII - ENTRADA TUNEL;442652.56;4480464.17
11;AV BURGOS 9;442689.21;4480302.05
12;AV PIO XII - FRENTE N98;442743.37;4480400.55
13;AV PIO XII 77;442902.48;4479983.68
14;CTA SAGRADO CORAZON 2 C1;443049.74;4479742.81
15;CTA SAGRADO CORAZON 2 C2;443049.74;4479742.81
16;C COSTA RICA 17 C1;443095.1;4478873.41
17;C COSTA RICA 17 C2;443095.1;4478873.41
18;AV ALFONSO XIII - FRENTE N7;443314.85;4478970.08
19;C FEDERICO SALMON 34;443343.14;4478976.86
20;AV ALFONSO XIII 113;443366.47;4478889.32
21;AV RAMON Y CAJAL 81 C1;443522.52;4478195.9
22;AV RAMON Y CAJAL 81 C2;443522.52;4478195.9
23;PO CEREZOS - AV. RAMON CAJAL;443593.17;4478220.12
24;AV AMERICA VS - A2PK4.000 ENT;443599.12;4477164.3
25;AV AMERICA - A2PK4.000 ENT C1;443605.73;4477152.26
26;AV AMERICA - A2PK4.000 ENT C2;443605.73;4477152.26
27;AV BRASILIA 33;443913.71;4476907.07
28;AV BRASILIA - JUNTO N31;443917.46;4476773.28
29;AV BONN - JUNTO N23;443917.13;4476649.4
30;AV BRASILIA 11;443921.94;4476601.18
31;C BRESCIA - JUNTO N19;443907.75;4476416.8
32;C ROBERTO DOMINGO 3;443925.44;4476253.26
33;C ALCALA - ROBERTO DOMINGO C1;443859.22;4475848.48
34;C ALCALA - ROBERTO DOMINGO C2;443859.22;4475848.48
35;C ALCALA 239 - ROBERTO DOMINGO;443885.74;4475855.94
36;C ODONNELL 65 C1;443314.23;4474706.55
37;C ODONNELL 65 C2;443314.23;4474706.55
38;C ALCALDE SAINZ DE BARANDA C1;443554.41;4474549.67
39;C ALCALDE SAINZ DE BARANDA C2;443554.41;4474549.67
40;C ESTRELLA POLAR 19 C1;443647.48;4473601.42
41;C ESTRELLA POLAR 19 C2;443647.48;4473601.42
42;C SIRIO 64;443567.1;4473383.23
43;C PEZ VOLADOR - FRENTE N32;443804.64;4473931.83
44;C DOCTOR ESQUERDO 161 C1;443156.72;4473301.08
45;C DOCTOR ESQUERDO 161 C2;443156.72;4473301.08
46;AV MEDITERRANEO 39;443080.33;4473130.82
47;AV MEDITERRANEO 33 C1;442917.25;4473155.6
48;AV MEDITERRANEO 33 C2;442917.25;4473155.6
49;C DOCTOR ESQUERDO 132 C1;443100.91;4473058.73
50;C DOCTOR ESQUERDO 132 C2;443100.91;4473058.73
51;C CARLOS Y GUILLERMO FDEZ. 5;443309.52;4472861.12
