e_postal_code,e_surface_m2,e_pct_surface_heated,e_heating_demand_kwh_m2_a,final_heating_kwh_m2_a,nonren_heating_kwh_m2_a
28024,1298.25,1000.0,135.76,219.68,261.42
28027,1294.0,1000.0,155.6,251.79,299.63
28027,756.0,1000.0,134.52,217.67,259.03
28027,1236.0,1000.0,187.18,302.87,360.42
28027,1202.44,1000.0,166.43,269.3,320.46
28027,1767.0,1000.0,134.57,217.75,259.12
28027,745.0,1000.0,151.32,244.85,291.37
28027,2363.0,1000.0,101.39,164.06,195.24
28027,1360.0,1000.0,143.64,232.42,276.58
28027,756.0,1000.0,144.87,234.41,278.95
28027,1248.0,1000.0,163.29,264.22,314.42
28027,756.0,1000.0,142.83,231.11,275.03
28047,2646.97,1000.0,142.02,157.69,228.23
28027,1395.0,1000.0,134.05,216.91,258.12
28027,743.0,1000.0,153.08,247.71,294.77
28027,1043.0,1000.0,106.12,171.72,204.35
28027,715.0,1000.0,143.91,232.86,277.11
28027,1206.0,1000.0,144.21,233.35,277.69
28027,1206.0,1000.0,149.83,242.45,288.51
28027,756.0,1000.0,132.13,213.81,254.43
28027,1474.12,1000.0,116.47,188.46,224.27
28027,2284.0,1000.0,101.84,164.8,196.11
28027,1395.0,1000.0,145.76,235.86,280.68
28027,752.0,1000.0,163.04,263.82,313.95
28027,2200.0,1000.0,98.27,159.01,189.22
28027,1070.0,1000.0,156.46,253.18,301.28
28055,248.0,1000.0,126.84,142.99,94.18
28027,743.0,1000.0,153.78,248.83,296.11
28033,532.0,1000.0,174.3,212.9,286.65
28047,2165.22,1000.0,135.08,160.04,197.33
28011,68.3,1000.0,102.52,155.33,184.84
28047,554.15,420.0,145.5,170.87,205.75
28043,109.19,1000.0,162.13,262.34,312.18
28018,51.06,590.0,182.42,172.23,274.34
28042,9817.99,1000.0,38.82,46.68,85.25
28019,59.51,1000.0,130.84,198.24,235.9
28027,987.0,1000.0,161.98,262.11,311.91
28021,11033.27,1000.0,27.03,9.36,16.2
28031,9352.61,810.0,16.46,17.58,20.65
28026,28.0,1000.0,89.0,89.0,173.9
28006,103.5,1000.0,70.72,107.15,127.51
28016,3380.0,1000.0,114.98,186.05,221.4
28033,74.1,1000.0,190.7,223.51,275.05
28032,50.4,1000.0,100.47,152.23,181.15
28038,26.25,1000.0,129.12,174.49,207.64
28020,52.0,1000.0,59.55,49.63,96.97
28006,82.0,1000.0,67.17,82.5,101.39
28009,96.3,1000.0,113.82,113.27,153.74
28039,38.6,1000.0,73.36,111.16,132.28
28026,216.5,1000.0,244.51,146.85,286.95
28039,61.0,1000.0,85.1,110.23,131.18
28005,41.55,1000.0,95.86,115.5,137.44
28043,137.0,1000.0,78.7,32.97,64.43
28055,90.0,900.0,30.84,28.58,38.43
28023,254.0,1000.0,33.55,50.83,60.49
28054,77.0,1000.0,57.84,93.59,111.37
28041,66.0,1000.0,60.47,72.14,103.6
28019,565.6,1000.0,83.24,89.6,162.35
28011,250.0,1000.0,71.12,92.12,109.62
28034,241.51,1000.0,102.73,109.28,130.05
28029,80.0,1000.0,130.45,128.06,174.48
28009,104.4,1000.0,112.31,145.47,173.11
28028,10.8,1000.0,290.33,290.33,567.31
28037,82.0,1000.0,119.15,192.79,229.43
28007,38.7,1000.0,94.05,121.83,144.98
28042,135.0,1000.0,107.51,148.91,177.2
28020,183.8,1000.0,185.94,163.39,319.26
28032,78.0,1000.0,42.12,44.73,58.27
28020,48.0,1000.0,70.27,91.02,107.31
28006,4060.0,1000.0,176.19,234.92,279.56
28001,117.0,1000.0,85.9,85.9,167.85
28030,64.8,1000.0,109.81,133.91,159.35
28041,74.0,1000.0,124.11,188.05,223.78
28026,524.0,1000.0,94.45,104.94,205.05
