gei_yr,gei_crf_act,gei_pollutant,gei_co2_eq_t,gei_crf
1990,1A1a Producción de energía y calor en plantas de servicio público,N2O,15.104735,1A1a
1990,1A1a Producción de energía y calor en plantas de servicio público,CH4,15.95958,1A1a
1990,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,CH4,1.038352,1A1c
1990,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,CO2,1144.93,1A1c
1990,1A1c  Fabricación de combustibles sólidos y otras industrias energéticas,N2O,5.255745,1A1c
1990,1A2a Hierro y acero,CH4,84.486108,1A2a
1990,1A2a Hierro y acero,CO2,101313.5578,1A2a
1990,1A2a Hierro y acero,N2O,130.4208365,1A2a
1990,1A2b Metales no ferrosos,CH4,27.526764200000002,1A2b
1990,1A2b Metales no ferrosos,CO2,16371.6564273,1A2b
1990,1A2b Metales no ferrosos,N2O,38.4422669,1A2b
1990,1A2c Productos químicos,CH4,1956.6175159999998,1A2c
1990,1A2c Productos químicos,CO2,712907.608,1A2c
1990,1A2c Productos químicos,N2O,1566.03128,1A2c
1990,"1A2d Pasta de papel, papel e impresión",CH4,1290.2983800000002,1A2d
1990,"1A2d Pasta de papel, papel e impresión",CO2,133632.395,1A2d
1990,"1A2d Pasta de papel, papel e impresión",N2O,457.90039,1A2d
1990,"1A2e  Procesado de alimentos, bebidas y tabaco",CH4,581.062496,1A2e
1990,"1A2e  Procesado de alimentos, bebidas y tabaco",CO2,242940.055,1A2e
1990,"1A2e  Procesado de alimentos, bebidas y tabaco",N2O,470.05117,1A2e
1990,1A2f Minerales no metálicos,N2O,2354.0449703,1A2f
1990,1A2f Minerales no metálicos,CH4,1178.5224810999998,1A2f
1990,1A2f Minerales no metálicos,CO2,768661.3501533,1A2f
1990,1A2g Otros sectores,N2O,9373.2756793,1A2g
1990,1A2g Otros sectores,CH4,7421.9393752,1A2g
1990,1A2g Otros sectores,CO2,556224.901788,1A2g
1990,1A3a Transporte aéreo civil,CH4,210.6739085,1A3a
1990,1A3a Transporte aéreo civil,CO2,463415.86779289995,1A3a
1990,1A3a Transporte aéreo civil,N2O,3337.9082589000004,1A3a
1990,1A3b Transporte rodado,CH4,59344.284188000005,1A3b
1990,1A3b Transporte rodado,CO2,6030809.095,1A3b
1990,1A3b Transporte rodado,N2O,48464.79583,1A3b
1990,1A3c Transporte por ferrocarril,N2O,51.11797,1A3c
1990,1A3c Transporte por ferrocarril,CH4,40.252016000000005,1A3c
1990,1A3c Transporte por ferrocarril,CO2,25669.170000000002,1A3c
1990,1A4a Comercial / institucional,N2O,2080.8515500000003,1A4a
1990,1A4a Comercial / institucional,CH4,3939.5996640000003,1A4a
1990,1A4a Comercial / institucional,CO2,1091031.972,1A4a
1990,1A4b  ResidencialEstacionaria,CH4,80607.75268,1A4b
1990,1A4b  ResidencialEstacionaria,CO2,2573154.79,1A4b
1990,1A4b  ResidencialEstacionaria,N2O,6048.082015,1A4b
1990,1A4c Agricultura/Pesca/Forestal,CH4,185.79512,1A4c
1990,1A4c Agricultura/Pesca/Forestal,CO2,74156.754,1A4c
1990,1A4c Agricultura/Pesca/Forestal,N2O,691.9589900000001,1A4c
1990,"1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo)",N2O,245.094525,1A5b
1990,"1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo)",CH4,16.342395999999997,1A5b
1990,"1A5b  Otros, móviles (incluidos barcos militares, terrestres y de recreo)",CO2,33644.336,1A5b
1990,1B2b Emisiones fugitivas de gas natural ,CO2,2.813,1B2b
1990,1B2b Emisiones fugitivas de gas natural ,CH4,7026.773516,1B2b
1990,2A1 Producción de cemento,CO2,697089.75,2A1
1990,2A2 Producción de Cal,CO2,71048.4656049,2A2
1990,2A3 Producción de vidrio,CO2,5181.091,2A3
1990,2A4a Producción de cerámica,CO2,9353.761999999999,2A4a
1990,2A4b Otros usos de carbonato sódico ,CO2,14770.851999999999,2A4b
1990,2C1a Producción de acero,CO2,27420.739999999998,2C1a
1990,2C5 Producción de plomo,CO2,2544.12,2C5
1990,2D1 Uso de lubricantes,CO2,19844.8,2D1
1990,2D2 Uso de parafinas,CO2,4122.658,2D2
1990,2G1a Equipos eléctricos/Fabricación,SF6,36.2419115,2G1a
1990,2G1b Equipos eléctricos/Stock,SF6,7229.1235095,2G1b
1990,2G3a Aplicaciones médicas,N2O,45591.322920000006,2G3a
1990,2G3b Propulsor para para productos a presión y aerosoles,N2O,131.355995,2G3b
