gis_x;gis_y;fecha_alta;distrito;barrio;calle;num_finca;tipo_elemento;codigo;num_puerta;id_camara;longitud;latitud;direccion
439654,6834420440;4473220,4094054000;2018-11-30;01  CENTRO;01-02 EMBAJADORES;CAPITAN SALAZAR MARTINEZ, CALLE, DEL;1;Cámaras;Camara Entrada;1;1.1 e;-3.7111951;40.4074126;CAPITAN SALAZAR MARTINEZ, CALLE, DEL, 1
439655,6556642660;4473220,2427387400;2018-11-30;01  CENTRO;01-02 EMBAJADORES;TOLEDO, CALLE, DE;125;Cámaras;Camara Entrada;1;1.2 e;-3.7111835;40.4074112;TOLEDO, CALLE, DE, 125
439795,4257352600;4473105,8387040900;2018-11-30;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;S/N;Cámaras;Camara Entrada;2;2 e;-3.7095255;40.4063907;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL, S/N
439924,3457812710;4473071,2311696900;2018-11-30;01  CENTRO;01-02 EMBAJADORES;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL;5;Cámaras;Camara Entrada;3;3 e;-3.708003;40.4060882;CAMPILLO DEL MUNDO NUEVO, PLAZA, DEL, 5
440363,6802599980;4473006,7546075000;2018-11-30;01  CENTRO;01-02 EMBAJADORES;EMBAJADORES, CALLE, DE;53;Cámaras;Camara Entrada;4;4 e;-3.7028198;40.405539;EMBAJADORES, CALLE, DE, 53
440646,3223309330;4473056,0760720700;2018-11-30;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;25;Cámaras;Camara Entrada;5;5 e;-3.6994937;40.4060035;VALENCIA, CALLE, DE, 25
440951,5306642660;4473204,4510720700;2018-11-30;01  CENTRO;01-02 EMBAJADORES;ARGUMOSA, CALLE, DE;43;Cámaras;Camara Entrada;6;6 e;-3.6959107;40.4073618;ARGUMOSA, CALLE, DE, 43
441223,2806642660;4473436,2010720700;2018-11-30;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;127;Cámaras;Camara Entrada;7;7.1 e;-3.6927297;40.4094688;ATOCHA, CALLE, DE, 127
441221,7806642660;4473433,4510720700;2018-11-30;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;127;Cámaras;Camara Entrada;7;7.2 e;-3.6927471;40.4094439;ATOCHA, CALLE, DE, 127
441147,2389975990;4473784,9094054000;2018-11-30;01  CENTRO;01-03 CORTES;PLATERIA DE MARTINEZ, PLAZA, DE LA;1;Cámaras;Camara Entrada;8;8 e;-3.6936581;40.4126048;PLATERIA DE MARTINEZ, PLAZA, DE LA, 1
441137,7389975990;4473799,1594054000;2018-11-30;01  CENTRO;01-03 CORTES;PLATERIA DE MARTINEZ, PLAZA, DE LA;3;Cámaras;Camara Entrada;9;9 e;-3.6937713;40.4127325;PLATERIA DE MARTINEZ, PLAZA, DE LA, 3
441110,3223309330;4473933,1594054000;2018-11-30;01  CENTRO;01-03 CORTES;LOPE DE VEGA, CALLE, DE;51;Cámaras;Camara Entrada;10;10 e;-3.6941069;40.4139377;LOPE DE VEGA, CALLE, DE, 51
441042,5723309330;4474107,9927387400;2018-11-30;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Cámaras;Camara Entrada;11;11.1 e;-3.6949216;40.4155078;CORTES, PLAZA, DE LAS, 6
441041,2389975990;4474105,3260720700;2018-11-30;01  CENTRO;01-03 CORTES;CORTES, PLAZA, DE LAS;6;Cámaras;Camara Entrada;11;11.2 e;-3.694937;40.4154838;CORTES, PLAZA, DE LAS, 6
441067,4889975990;4474240,4927387400;2018-11-30;01  CENTRO;01-03 CORTES;ZORRILLA, CALLE, DE;31;Cámaras;Camara Entrada;12;12 e;-3.6946402;40.4167032;ZORRILLA, CALLE, DE, 31
441088,8223309330;4474328,2427387400;2018-11-30;01  CENTRO;01-03 CORTES;LOS MADRAZO, CALLE, DE;29;Cámaras;Camara Entrada;13;13 e;-3.6943969;40.4174952;LOS MADRAZO, CALLE, DE, 29
441102,1556642660;4474525,4094054000;2018-11-30;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51;Cámaras;Camara Entrada;14;14.1 e;-3.6942579;40.4192724;ALCALA, CALLE, DE, 51
441102,4889975990;4474522,5760720700;2018-11-30;01  CENTRO;01-04 JUSTICIA;ALCALA, CALLE, DE;51;Cámaras;Camara Entrada;14;14.2;-3.6942538;40.4192469;ALCALA, CALLE, DE, 51
