Año;Tipo territorio;Código territorio;Territorio;Tipo;Valor;Estado dato
1994;Comunidad de Madrid;;Comunidad de Madrid;Total;382049;
1994;Municipios;0014;Acebeda (La);Total;214;
1994;Municipios;0029;Ajalvir;Total;735;
1994;Municipios;0035;Alameda del Valle;Total;293;
1994;Municipios;0040;Álamo (El);Total;2274;
1994;Municipios;0053;Alcalá de Henares;Total;5269;
1994;Municipios;0066;Alcobendas;Total;3973;
1994;Municipios;0072;Alcorcón;Total;2478;
1994;Municipios;0088;Aldea del Fresno;Total;1104;
1994;Municipios;0091;Algete;Total;2236;
1994;Municipios;0105;Alpedrete;Total;2021;
1994;Municipios;0112;Ambite;Total;619;
1994;Municipios;0127;Anchuelo;Total;297;
1994;Municipios;0133;Aranjuez;Total;3015;
1994;Municipios;0148;Arganda del Rey;Total;5458;
1994;Municipios;0151;Arroyomolinos;Total;598;
1994;Municipios;0164;Atazar (El);Total;125;
1994;Municipios;0170;Batres;Total;511;
1994;Municipios;0186;Becerril de la Sierra;Total;2162;
1994;Municipios;0199;Belmonte de Tajo;Total;659;
1994;Municipios;0210;Berrueco (El);Total;489;
1994;Municipios;0203;Berzosa del Lozoya;Total;144;
1994;Municipios;0225;Boadilla del Monte;Total;4387;
1994;Municipios;0231;Boalo (El);Total;1660;
1994;Municipios;0246;Braojos;Total;281;
1994;Municipios;0259;Brea de Tajo;Total;508;
1994;Municipios;0262;Brunete;Total;1030;
1994;Municipios;0278;Buitrago del Lozoya;Total;504;
1994;Municipios;0284;Bustarviejo;Total;1201;
1994;Municipios;0297;Cabanillas de la Sierra;Total;510;
1994;Municipios;0301;Cabrera (La);Total;1050;
1994;Municipios;0318;Cadalso de los Vidrios;Total;2029;
1994;Municipios;0323;Camarma de Esteruelas;Total;762;
1994;Municipios;0339;Campo Real;Total;976;
1994;Municipios;0344;Canencia;Total;593;
1994;Municipios;0357;Carabaña;Total;1220;
1994;Municipios;0360;Casarrubuelos;Total;275;
1994;Municipios;0376;Cenicientos;Total;1657;
1994;Municipios;0382;Cercedilla;Total;2014;
1994;Municipios;0395;Cervera de Buitrago;Total;246;
1994;Municipios;0513;Chapinería;Total;702;
1994;Municipios;0528;Chinchón;Total;2244;
1994;Municipios;0409;Ciempozuelos;Total;2350;
1994;Municipios;0416;Cobeña;Total;687;
1994;Municipios;0468;Collado Mediano;Total;1498;
1994;Municipios;0474;Collado Villalba;Total;4343;
1994;Municipios;0437;Colmenar de Oreja;Total;2681;
1994;Municipios;0421;Colmenar del Arroyo;Total;627;
1994;Municipios;0455;Colmenar Viejo;Total;5506;
1994;Municipios;0442;Colmenarejo;Total;1031;
1994;Municipios;0480;Corpa;Total;291;
1994;Municipios;0493;Coslada;Total;2868;
1994;Municipios;0506;Cubas de la Sagra;Total;624;
1994;Municipios;0534;Daganzo de Arriba;Total;561;
1994;Municipios;0549;Escorial (El);Total;2643;
1994;Municipios;0552;Estremera;Total;1101;
1994;Municipios;0565;Fresnedillas de la Oliva;Total;589;
1994;Municipios;0571;Fresno de Torote;Total;449;
1994;Municipios;0587;Fuenlabrada;Total;5214;
1994;Municipios;0590;Fuente el Saz de Jarama;Total;1299;
1994;Municipios;0604;Fuentidueña de Tajo;Total;1026;
1994;Municipios;0611;Galapagar;Total;4770;
1994;Municipios;0626;Garganta de los Montes;Total;591;
1994;Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;Total;731;
1994;Municipios;0647;Gascones;Total;153;
1994;Municipios;0650;Getafe;Total;10467;
1994;Municipios;0663;Griñón;Total;1296;
1994;Municipios;0679;Guadalix de la Sierra;Total;1299;
1994;Municipios;0685;Guadarrama;Total;2095;
1994;Municipios;0698;Hiruela (La);Total;145;
1994;Municipios;0702;Horcajo de la Sierra-Aoslos;Total;298;
1994;Municipios;0719;Horcajuelo de la Sierra;Total;206;
1994;Municipios;0724;Hoyo de Manzanares;Total;1945;
1994;Municipios;0730;Humanes de Madrid;Total;2339;
1994;Municipios;0745;Leganés;Total;4937;
1994;Municipios;0758;Loeches;Total;700;
1994;Municipios;0761;Lozoya;Total;548;
1994;Municipios;9015;Lozoyuela-Navas-Sieteiglesias;Total;1077;
1994;Municipios;0783;Madarcos;Total;121;
1994;Municipios;0796;Madrid;Total;122552;
1994;Municipios;0800;Majadahonda;Total;3027;
1994;Municipios;0822;Manzanares el Real;Total;1882;
1994;Municipios;0838;Meco;Total;773;
1994;Municipios;0843;Mejorada del Campo;Total;2095;
1994;Municipios;0856;Miraflores de la Sierra;Total;2038;
1994;Municipios;0869;Molar (El);Total;1480;
1994;Municipios;0875;Molinos (Los);Total;1253;
1994;Municipios;0881;Montejo de la Sierra;Total;326;
1994;Municipios;0894;Moraleja de Enmedio;Total;825;
1994;Municipios;0908;Moralzarzal;Total;1445;
1994;Municipios;0915;Morata de Tajuña;Total;1961;
1994;Municipios;0920;Móstoles;Total;3541;
1994;Municipios;0936;Navacerrada;Total;1008;
1994;Municipios;0941;Navalafuente;Total;538;
1994;Municipios;0954;Navalagamella;Total;769;
1994;Municipios;0967;Navalcarnero;Total;2435;
1994;Municipios;0973;Navarredonda y San Mamés;Total;357;
1994;Municipios;0992;Navas del Rey;Total;1083;
1994;Municipios;1006;Nuevo Baztán;Total;1460;
1994;Municipios;1013;Olmeda de las Fuentes;Total;208;
1994;Municipios;1028;Orusco de Tajuña;Total;807;
1994;Municipios;1049;Paracuellos de Jarama;Total;1910;
1994;Municipios;1065;Parla;Total;2896;
1994;Municipios;1071;Patones;Total;358;
1994;Municipios;1087;Pedrezuela;Total;991;
1994;Municipios;1090;Pelayos de la Presa;Total;1455;
1994;Municipios;1104;Perales de Tajuña;Total;1330;
1994;Municipios;1111;Pezuela de las Torres;Total;484;
1994;Municipios;1126;Pinilla del Valle;Total;265;
1994;Municipios;1132;Pinto;Total;2012;
1994;Municipios;1147;Piñuécar-Gandullas;Total;358;
1994;Municipios;1150;Pozuelo de Alarcón;Total;8277;
1994;Municipios;1163;Pozuelo del Rey;Total;251;
1994;Municipios;1179;Prádena del Rincón;Total;232;
1994;Municipios;1185;Puebla de la Sierra;Total;204;
1994;Municipios;9020;Puentes Viejas;Total;961;
1994;Municipios;1198;Quijorna;Total;522;
1994;Municipios;1202;Rascafría;Total;1330;
1994;Municipios;1219;Redueña;Total;173;
1994;Municipios;1224;Ribatejada;Total;473;
1994;Municipios;1230;Rivas-Vaciamadrid;Total;2458;
1994;Municipios;1245;Robledillo de la Jara;Total;167;
1994;Municipios;1258;Robledo de Chavela;Total;2021;
1994;Municipios;1261;Robregordo;Total;193;
1994;Municipios;1277;Rozas de Madrid (Las);Total;8596;
1994;Municipios;1283;Rozas de Puerto Real;Total;618;
1994;Municipios;1296;San Agustín del Guadalix;Total;964;
1994;Municipios;1300;San Fernando de Henares;Total;1700;
1994;Municipios;1317;San Lorenzo de El Escorial;Total;1796;
1994;Municipios;1322;San Martín de la Vega;Total;1996;
1994;Municipios;1338;San Martín de Valdeiglesias;Total;2508;
1994;Municipios;1343;San Sebastián de los Reyes;Total;4268;
1994;Municipios;1356;Santa María de la Alameda;Total;1817;
1994;Municipios;1369;Santorcaz;Total;456;
1994;Municipios;1375;Santos de la Humosa (Los);Total;644;
1994;Municipios;1381;Serna del Monte (La);Total;155;
1994;Municipios;1408;Serranillos del Valle;Total;485;
1994;Municipios;1415;Sevilla la Nueva;Total;937;
1994;Municipios;1436;Somosierra;Total;115;
1994;Municipios;1441;Soto del Real;Total;2278;
1994;Municipios;1454;Talamanca de Jarama;Total;612;
1994;Municipios;1467;Tielmes;Total;858;
1994;Municipios;1473;Titulcia;Total;402;
1994;Municipios;1489;Torrejón de Ardoz;Total;3861;
1994;Municipios;1492;Torrejón de la Calzada;Total;193;
1994;Municipios;1505;Torrejón de Velasco;Total;651;
1994;Municipios;1512;Torrelaguna;Total;1178;
1994;Municipios;1527;Torrelodones;Total;2294;
1994;Municipios;1533;Torremocha de Jarama;Total;278;
1994;Municipios;1548;Torres de la Alameda;Total;1268;
1994;Municipios;9036;Tres Cantos;Total;1359;
1994;Municipios;1551;Valdaracete;Total;506;
1994;Municipios;1564;Valdeavero;Total;499;
1994;Municipios;1570;Valdelaguna;Total;541;
1994;Municipios;1586;Valdemanco;Total;481;
1994;Municipios;1599;Valdemaqueda;Total;634;
1994;Municipios;1603;Valdemorillo;Total;3520;
1994;Municipios;1610;Valdemoro;Total;1621;
1994;Municipios;1625;Valdeolmos-Alalpardo;Total;575;
1994;Municipios;1631;Valdepiélagos;Total;230;
1994;Municipios;1646;Valdetorres de Jarama;Total;1022;
1994;Municipios;1659;Valdilecha;Total;992;
1994;Municipios;1662;Valverde de Alcalá;Total;188;
1994;Municipios;1678;Velilla de San Antonio;Total;930;
1994;Municipios;1684;Vellón (El);Total;821;
1994;Municipios;1697;Venturada;Total;693;
1994;Municipios;1718;Villa del Prado;Total;2890;
1994;Municipios;1701;Villaconejos;Total;1229;
1994;Municipios;1723;Villalbilla;Total;1301;
1994;Municipios;1739;Villamanrique de Tajo;Total;505;
1994;Municipios;1744;Villamanta;Total;804;
1994;Municipios;1757;Villamantilla;Total;273;
1994;Municipios;1760;Villanueva de la Cañada;Total;2170;
1994;Municipios;1782;Villanueva de Perales;Total;356;
1994;Municipios;1776;Villanueva del Pardillo;Total;487;
1994;Municipios;1795;Villar del Olmo;Total;680;
1994;Municipios;1809;Villarejo de Salvanés;Total;1844;
1994;Municipios;1816;Villaviciosa de Odón;Total;3743;
1994;Municipios;1821;Villavieja del Lozoya;Total;541;
1994;Municipios;1837;Zarzalejo;Total;873;
1994;Zonas Estadísticas;03;Este Metropolitano;Total;27284;
1994;Zonas Estadísticas;01;Municipio de Madrid;Total;122552;
1994;Zonas Estadísticas;07;Nordeste Comunidad;Total;8735;
1994;Zonas Estadísticas;02;Norte Metropolitano;Total;18993;
1994;Zonas Estadísticas;05;Oeste Metropolitano;Total;44582;
1994;Zonas Estadísticas;11;Sierra Central;Total;30831;
1994;Zonas Estadísticas;06;Sierra Norte;Total;21534;
1994;Zonas Estadísticas;10;Sierra Sur;Total;17382;
1994;Zonas Estadísticas;08;Sudeste Comunidad;Total;30237;
1994;Zonas Estadísticas;09;Sudoeste Comunidad;Total;17053;
1994;Zonas Estadísticas;04;Sur Metropolitano;Total;42866;
1995;Comunidad de Madrid;;Comunidad de Madrid;Total;390602;
1995;Municipios;0014;Acebeda (La);Total;214;
1995;Municipios;0029;Ajalvir;Total;764;
1995;Municipios;0035;Alameda del Valle;Total;296;
1995;Municipios;0040;Álamo (El);Total;2354;
1995;Municipios;0053;Alcalá de Henares;Total;5268;
1995;Municipios;0066;Alcobendas;Total;4119;
1995;Municipios;0072;Alcorcón;Total;3009;
1995;Municipios;0088;Aldea del Fresno;Total;1152;
1995;Municipios;0091;Algete;Total;2324;
1995;Municipios;0105;Alpedrete;Total;2379;
1995;Municipios;0112;Ambite;Total;620;
1995;Municipios;0127;Anchuelo;Total;297;
1995;Municipios;0133;Aranjuez;Total;3015;
