año;municipio_codigo;municipio_nombre;entidad_codigo;entidad_nombre;fecha_festivo
2025;002;Ajalvir;00;Ajalvir;2025-02-03
2025;002;Ajalvir;00;Ajalvir;2025-05-15
2025;003;Alameda del Valle;00;Alameda del Valle;2025-07-18
2025;003;Alameda del Valle;00;Alameda del Valle;2025-07-26
2025;005;Alcalá de Henares;00;Alcalá de Henares;2025-08-06
2025;005;Alcalá de Henares;00;Alcalá de Henares;2025-10-09
2025;006;Alcobendas;00;Alcobendas;2025-01-24
2025;006;Alcobendas;00;Alcobendas;2025-05-15
2025;007;Alcorcón;00;Alcorcón;2025-04-21
2025;007;Alcorcón;00;Alcorcón;2025-09-08
2025;008;Aldea del Fresno;00;Aldea del Fresno;2025-01-17
2025;008;Aldea del Fresno;00;Aldea del Fresno;2025-06-27
2025;009;Algete;00;Algete;2025-09-12
2025;009;Algete;00;Algete;2025-09-15
2025;010;Alpedrete;00;Alpedrete;2025-05-22
2025;010;Alpedrete;00;Alpedrete;2025-05-23
2025;011;Ambite;00;Ambite;2025-02-03
2025;011;Ambite;00;Ambite;2025-04-30
2025;012;Anchuelo;00;Anchuelo;2025-04-29
2025;012;Anchuelo;00;Anchuelo;2025-04-30
2025;013;Aranjuez;00;Aranjuez;2025-05-30
2025;013;Aranjuez;00;Aranjuez;2025-09-05
2025;014;Arganda del Rey;00;Arganda del Rey;2025-09-12
2025;014;Arganda del Rey;00;Arganda del Rey;2025-09-15
2025;015;Arroyomolinos;00;Arroyomolinos;2025-06-19
2025;015;Arroyomolinos;00;Arroyomolinos;2025-06-20
2025;017;Batres;00;Batres;2025-02-10
2025;017;Batres;00;Batres;2025-09-01
2025;018;Becerril de la Sierra;00;Becerril de la Sierra;2025-08-18
2025;018;Becerril de la Sierra;00;Becerril de la Sierra;2025-09-15
2025;020;Berzosa del Lozoya;00;Berzosa del Lozoya;2025-08-16
2025;020;Berzosa del Lozoya;00;Berzosa del Lozoya;2025-12-05
2025;022;Boadilla del Monte;00;Boadilla del Monte;2025-05-26
2025;022;Boadilla del Monte;00;Boadilla del Monte;2025-10-06
2025;024;Braojos;00;Braojos;2025-01-22
2025;024;Braojos;00;Braojos;2025-09-08
2025;025;Brea de Tajo;00;Brea de Tajo;2025-10-06
2025;025;Brea de Tajo;00;Brea de Tajo;2025-10-07
