Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Estado dato
2004;Total consumo de gas natural;Otros;;;24070;
2004;Consumo de gas natural del grupo 1;Otros;;;1925;
2004;Consumo de gas natural del grupo 2;Otros;;;6495;
2004;Consumo de gas natural del grupo 3;Otros;;;15614;
2004;Consumo de gas natural del grupo 4;Otros;;;36;
2004;Consumo de gas natural liquado (GNL);Otros;;;-;
2005;Consumo de gas natural del grupo 2;Otros;;;6608;
2005;Consumo de gas natural del grupo 4;Otros;;;13;
2005;Consumo de gas natural del grupo 3;Otros;;;16672;
2005;Total consumo de gas natural;Otros;;;25673;
2005;Consumo de gas natural liquado (GNL);Otros;;;-;
2005;Consumo de gas natural del grupo 1;Otros;;;2381;
2006;Consumo de gas natural del grupo 1;Otros;;;2617;
2006;Consumo de gas natural del grupo 4;Otros;;;1;
2006;Total consumo de gas natural;Otros;;;24060;
2006;Consumo de gas natural del grupo 3;Otros;;;15100;
2006;Consumo de gas natural del grupo 2;Otros;;;6342;
2006;Consumo de gas natural liquado (GNL);Otros;;;-;
2007;Consumo de gas natural del grupo 2;Otros;;;6786;
2007;Total consumo de gas natural;Otros;;;26108;
2007;Consumo de gas natural del grupo 4;Otros;;;-;
2007;Consumo de gas natural del grupo 1;Otros;;;2439;
2007;Consumo de gas natural liquado (GNL);Otros;;;-;
2007;Consumo de gas natural del grupo 3;Otros;;;16883;
2008;Consumo de gas natural del grupo 3;Otros;;;18017;
2008;Consumo de gas natural del grupo 2;Otros;;;6343;
2008;Consumo de gas natural del grupo 1;Otros;;;2649;
2008;Total consumo de gas natural;Otros;;;27010;
2008;Consumo de gas natural liquado (GNL);Otros;;;-;
2008;Consumo de gas natural del grupo 4;Otros;;;-;
2009;Consumo de gas natural del grupo 4;Otros;;;-;
2009;Consumo de gas natural del grupo 2;Otros;;;4691;
2009;Consumo de gas natural del grupo 1;Otros;;;2572;
2009;Total consumo de gas natural;Otros;;;25441;
2009;Consumo de gas natural liquado (GNL);Otros;;;-;
2009;Consumo de gas natural del grupo 3;Otros;;;18178;
2010;Total consumo de gas natural;Otros;;;27597;
2010;Consumo de gas natural del grupo 4;Otros;;;-;
2010;Consumo de gas natural liquado (GNL);Otros;;;-;
2010;Consumo de gas natural del grupo 3;Otros;;;20271;
2010;Consumo de gas natural del grupo 1;Otros;;;2943;
2010;Consumo de gas natural del grupo 2;Otros;;;4382;
2011;Consumo de gas natural del grupo 4;Otros;;;-;
2011;Consumo de gas natural del grupo 2;Otros;;;4021;
