COD_POSTAL,Renta bruta media,Renta disponible media
28001-Salamanca- Goya,130622,98602
28002-Chamartín,56107,43212
28003-Chamberí-Rios Rosas,56647,43235
28004-Justicia,45536,34834
28005-Arganzuela,38964,30707
28006-Castellana,89852,67409
28007-Adelfas,45050,35167
28008-Moncloa,53825,41258
28009-Ibiza-Niño Jesús,56978,43579
28010-Almagro,69669,52371
28011-Latina,28888,23710
28012-Embajadores,32660,26084
28013-Centro,53529,41074
28014-Retiro,62929,47422
28015-Universidad,43641,34058
28016-Hispanoamerica-Costillares,71246,53306
28017-Ventas-Ciudad Lineal-La Elipa,26844,22249
28018-Palomeras,24311,20388
28019-Opañel-Comillas-San Isidro,26471,21948
28020-Valdeacederas,46009,35868
28021-Villaverde-S. Cristóbal de Los Ángeles,23780,20038
28022-San Blas,34859,27807
28023-Aravaca,100415,72911
28024-Campamento,28013,23267
28025-Carabanchel-Abrantes,24380,20468
28026-Usera,24028,20169
28027-San Juan Bautista,37393,29628
28028-Guindalera-Fuente El Berro,43310,33828
28029-Tetuán-Barrio Del Pilar,33160,26684
28030-Moratalaz,31537,25617
28031-Villa Vallecas-Santa Eugenia,27970,23015
28032-Vicalvaro- Valdebernardo,30525,24819
28033-Hortaleza-Pinar Del Rey,41903,32682
28034-Tres Olivos,50234,38463
28035-Fuencarral,61174,47297
28036-Nueva España,93099,68838
28037-San Blas,26960,22163
28038-Pavones,23108,19580
28039-Bellas Vistas-Valdeacederas,29980,24316
28040-Ciudad Universitaria,50339,38885
28041-Orcasitas-San Fermín,25195,21106
28042-Barajas-La Alameda de Osuna,47655,36627
28043-Hortaleza-Canillas,55586,42059
28044-Cuatrovientos,26209,21878
28045-Delicias,37422,29530
28046-Castilla -Chamartín,73952,55947
28047-Aluche-Vista Alegre,27354,22744
28048-Fuencarral El Pardo,30830,25234
28049-El Goloso,56874,42914
28050-Las Tablas,53207,40349
28051-Villa de Vallecas,31487,25496
28053-Entrevías-Puente de Vallecas,21120,18049
28054-Buenavista-La Fortuna,33397,26828
28055-Valdebebas-Valdefuentes,60644,45287
null,null,null
